structure_id,conf_symbol,mixing_energy_pa,Al,Nb
ICET-Training-No-47239,Al6Nb,-0.17418329714285768,0.86,0.14
ICET-Training-No-47251,Al4Nb3,-0.249988765714286,0.57,0.43
ICET-Training-No-47272,Al5Nb2,-0.3681200185714287,0.71,0.29
ICET-Training-No-47275,Al4Nb3,-0.25229698714285675,0.57,0.43
ICET-Training-No-47286,Al3Nb4,-0.24619732285714338,0.43,0.57
ICET-Training-No-47359,Al3Nb4,-0.19078593000000005,0.43,0.57
ICET-Training-No-47647,Al3Nb4,-0.2909329757142863,0.43,0.57
ICET-Training-No-47655,Al2Nb5,-0.13792392428571532,0.29,0.71
ICET-Training-No-53162,Al5Nb2,-0.06683205428571475,0.71,0.29
ICET-Training-No-53165,Al4Nb3,-0.1869633271428565,0.57,0.43
ICET-Training-No-53176,Al3Nb4,-0.1714221257142857,0.43,0.57
ICET-Training-No-53240,Al4Nb3,-0.12466440571428551,0.57,0.43
ICET-Training-No-53249,Al3Nb4,-0.19116348285714327,0.43,0.57
ICET-Training-No-53284,Al3Nb4,-0.14311351857142846,0.43,0.57
ICET-Training-No-53606,Al2Nb5,-0.12279493571428698,0.29,0.71
ICET-Training-No-0076857,Al2Nb6,-0.14590530125,0.25,0.75
ICET-Training-No-0077177,AlNb7,-0.06276595000000107,0.12,0.88
ICET-Training-No-0101015,Al5Nb3,-0.3124179775000009,0.62,0.38
ICET-Training-No-0101018,Al4Nb4,-0.2607196175000004,0.5,0.5
ICET-Training-No-0101050,Al4Nb4,-0.28361925624999973,0.5,0.5
ICET-Training-No-0102452,AlNb7,-0.06030420125000013,0.12,0.88
ICET-Training-No-0116890,Al2Nb6,-0.15344035374999976,0.25,0.75
ICET-Training-No-0195940,Al3Nb5,-0.23065490500000063,0.38,0.62
ICET-Training-No-0220127,AlNb7,-0.08898114625000098,0.12,0.88
ICET-Training-No-0284275,Al3Nb5,-0.16864207625000027,0.38,0.62
ICET-Training-No-0284307,Al2Nb6,-0.14886271624999914,0.25,0.75
ICET-Training-No-0284627,AlNb7,-0.07299333375000039,0.12,0.88
ICET-Training-No-0324940,Al3Nb5,-0.13737411750000028,0.38,0.62
ICET-Training-No-0365076,Al2Nb6,-0.18107664375,0.25,0.75
ICET-Training-No-0375387,Al3Nb5,-0.2265616675000004,0.38,0.62
ICET-Training-No-0389083,Al4Nb4,-0.29523418000000046,0.5,0.5
