      #Energy        TDOS
      41.70539       0.00853
      41.89439       0.00453
      42.08339       0.00096
      42.27139       0.00000
      42.46039       0.00000
      42.64939       0.00000
      42.83839       0.00000
      43.02739       0.00000
      43.21539       0.00000
      43.40439       0.00000
      43.59339       0.00000
      43.78239       0.00000
      43.97139       0.00000
      44.15939       0.00000
      44.34839       0.00000
      44.53739       0.00000
      44.72639       0.00000
