structure_id,conf_symbol,mixing_energy_pa,Ti,Al,Nb
ICET-Training-No-11390,Al3Nb2Ti,-0.27012759000000014,0.1667,0.5,0.3333
ICET-Training-No-11393,Al3Nb3,-0.21674309333333378,0.0,0.5,0.5
ICET-Training-No-11404,Al2Nb2Ti2,-0.2660877233333328,0.3333,0.3333,0.3333
ICET-Training-No-11407,Al2Nb3Ti,-0.2158936966666675,0.1667,0.3333,0.5
ICET-Training-No-11420,Al2Nb4,-0.17542614500000062,0.0,0.3333,0.6667
ICET-Training-No-11509,Al2NbTi3,-0.33922743500000035,0.5,0.3333,0.1667
ICET-Training-No-11530,Al2Nb3Ti,-0.2689983233333339,0.1667,0.3333,0.5
ICET-Training-No-11554,Al2NbTi3,-0.25393468666666763,0.5,0.3333,0.1667
ICET-Training-No-11557,Al2Nb2Ti2,-0.21047445666666675,0.3333,0.3333,0.3333
ICET-Training-No-11566,AlTi5,-0.15352008833333267,0.8333,0.1667,0.0
ICET-Training-No-11567,AlNbTi4,-0.20212855666666604,0.6667,0.1667,0.1667
ICET-Training-No-11570,AlNbTi4,-0.14484876166666658,0.6667,0.1667,0.1667
ICET-Training-No-11571,AlNb2Ti3,-0.13494847666666723,0.5,0.1667,0.3333
ICET-Training-No-11586,AlNb2Ti3,-0.2032321416666664,0.5,0.1667,0.3333
ICET-Training-No-11589,AlNb2Ti3,-0.1302610933333336,0.5,0.1667,0.3333
ICET-Training-No-11590,AlNb3Ti2,-0.10871309999999923,0.3333,0.1667,0.5
ICET-Training-No-11641,Al2Nb2Ti2,-0.21228968499999942,0.3333,0.3333,0.3333
ICET-Training-No-11642,Al2Nb3Ti,-0.1856799450000004,0.1667,0.3333,0.5
ICET-Training-No-11653,Al2Nb2Ti2,-0.31663499166666637,0.3333,0.3333,0.3333
ICET-Training-No-11656,AlNb2Ti3,-0.15591004666666683,0.5,0.1667,0.3333
ICET-Training-No-11659,AlNb2Ti3,-0.13049752833333392,0.5,0.1667,0.3333
ICET-Training-No-11660,AlNb3Ti2,-0.1169352083333332,0.3333,0.1667,0.5
ICET-Training-No-11671,Al2Nb3Ti,-0.31940769000000085,0.1667,0.3333,0.5
ICET-Training-No-11674,AlNb3Ti2,-0.1078434683333332,0.3333,0.1667,0.5
ICET-Training-No-11677,AlNb3Ti2,-0.11194986833333331,0.3333,0.1667,0.5
ICET-Training-No-11678,AlNb4Ti,-0.08549188666666652,0.1667,0.1667,0.6667
ICET-Training-No-11881,Al2Nb3Ti,-0.2502069500000002,0.1667,0.3333,0.5
ICET-Training-No-11884,Al2Nb4,-0.1623226716666674,0.0,0.3333,0.6667
ICET-Training-No-11911,AlNb3Ti2,-0.13171227333333255,0.3333,0.1667,0.5
ICET-Training-No-11922,AlNb3Ti2,-0.13883101666666656,0.3333,0.1667,0.5
ICET-Training-No-11925,AlNb4Ti,-0.10071592166666694,0.1667,0.1667,0.6667
ICET-Training-No-11969,AlNb4Ti,-0.10811682333333295,0.1667,0.1667,0.6667
ICET-Training-No-11982,AlNb5,-0.07348571333333354,0.0,0.1667,0.8333
ICET-Training-No-12291,NbTi5,-0.015484948333333174,0.8333,0.0,0.1667
ICET-Training-No-12294,Nb2Ti4,-0.026148583333333402,0.6667,0.0,0.3333
ICET-Training-No-12300,Nb2Ti4,-0.026054671666667417,0.6667,0.0,0.3333
ICET-Training-No-12303,Nb3Ti3,-0.01652804333333317,0.5,0.0,0.5
ICET-Training-No-12326,Nb3Ti3,-0.030277863333333006,0.5,0.0,0.5
ICET-Training-No-12337,Nb4Ti2,-0.010980716666666742,0.3333,0.0,0.6667
ICET-Training-No-12401,Nb4Ti2,-0.013332725000000304,0.3333,0.0,0.6667
ICET-Training-No-12429,Nb5Ti,0.0005682983333331985,0.1667,0.0,0.8333
ICET-Training-No-12695,Al5Ti,-0.21373993333333333,0.1667,0.8333,0.0
ICET-Training-No-12696,Al5Nb,-0.13559172000000017,0.0,0.8333,0.1667
