x,y,gamma
0.5,0.2,0.0122
0.53333,0.2,0.01278
0.56667,0.2,0.0133
0.6,0.2,0.01365
0.63333,0.2,0.0137
0.66667,0.2,0.01339
0.7,0.2,0.01274
0.73333,0.2,0.01191
0.76667,0.2,0.01107
0.8,0.2,0.01034
0.83333,0.2,0.00979
0.86667,0.2,0.00944
0.9,0.2,0.00931
0.93333,0.2,0.00944
0.96667,0.2,0.00979
0.0,0.23333,0.01275
0.03333,0.23333,0.01316
0.06667,0.23333,0.0136
0.1,0.23333,0.01394
0.13333,0.23333,0.01404
0.16667,0.23333,0.01383
0.2,0.23333,0.0133
0.23333,0.23333,0.01253
0.26667,0.23333,0.01164
0.3,0.23333,0.01074
0.33333,0.23333,0.01004
0.36667,0.23333,0.00966
0.4,0.23333,0.00966
0.43333,0.23333,0.01004
0.46667,0.23333,0.01074
0.5,0.23333,0.01164
0.53333,0.23333,0.01253
0.56667,0.23333,0.0133
0.6,0.23333,0.01383
0.63333,0.23333,0.01404
0.66667,0.23333,0.01394
0.7,0.23333,0.0136
0.73333,0.23333,0.01316
0.76667,0.23333,0.01275
0.8,0.23333,0.0124
0.83333,0.23333,0.01218
0.86667,0.23333,0.01209
0.9,0.23333,0.01209
0.93333,0.23333,0.01218
0.96667,0.23333,0.0124
0.0,0.26667,0.01503
0.03333,0.26667,0.01507
0.06667,0.26667,0.01503
0.1,0.26667,0.01485
0.13333,0.26667,0.01442
0.16667,0.26667,0.01372
0.2,0.26667,0.01278
0.23333,0.26667,0.01164
0.26667,0.26667,0.01043
0.3,0.26667,0.00945
0.33333,0.26667,0.00884
0.36667,0.26667,0.00864
0.4,0.26667,0.00884
0.43333,0.26667,0.00945
0.46667,0.26667,0.01043
0.5,0.26667,0.01164
0.53333,0.26667,0.01278
0.56667,0.26667,0.01372
0.6,0.26667,0.01442
0.63333,0.26667,0.01485
0.66667,0.26667,0.01503
0.7,0.26667,0.01507
0.73333,0.26667,0.01503
0.76667,0.26667,0.01493
0.8,0.26667,0.01483
0.83333,0.26667,0.01474
0.86667,0.26667,0.0147
0.9,0.26667,0.01474
0.93333,0.26667,0.01483
0.96667,0.26667,0.01493
0.0,0.3,0.01713
0.03333,0.3,0.01677
0.06667,0.3,0.01625
0.1,0.3,0.01555
0.13333,0.3,0.01464
0.16667,0.3,0.01352
0.2,0.3,0.0122
0.23333,0.3,0.01074
0.26667,0.3,0.00945
0.3,0.3,0.00858
0.33333,0.3,0.00815
0.36667,0.3,0.00815
0.4,0.3,0.00858
0.43333,0.3,0.00945
0.46667,0.3,0.01074
0.5,0.3,0.0122
0.53333,0.3,0.01352
0.56667,0.3,0.01464
0.6,0.3,0.01555
0.63333,0.3,0.01625
0.66667,0.3,0.01677
0.7,0.3,0.01713
0.73333,0.3,0.01733
0.76667,0.3,0.01737
0.8,0.3,0.01732
0.83333,0.3,0.01727
0.86667,0.3,0.01727
0.9,0.3,0.01732
0.93333,0.3,0.01737
0.96667,0.3,0.01733
0.0,0.33333,0.01896
0.03333,0.33333,0.0182
0.06667,0.33333,0.01723
0.1,0.33333,0.01608
0.13333,0.33333,0.01477
0.16667,0.33333,0.01329
0.2,0.33333,0.01163
0.23333,0.33333,0.01004
0.26667,0.33333,0.00884
0.3,0.33333,0.00815
0.33333,0.33333,0.00793
0.36667,0.33333,0.00815
0.4,0.33333,0.00884
0.43333,0.33333,0.01004
0.46667,0.33333,0.01163
0.5,0.33333,0.01329
0.53333,0.33333,0.01477
0.56667,0.33333,0.01608
0.6,0.33333,0.01723
0.63333,0.33333,0.0182
0.66667,0.33333,0.01896
0.7,0.33333,0.01945
0.73333,0.33333,0.01969
0.76667,0.33333,0.01978
0.8,0.33333,0.01979
0.83333,0.33333,0.01979
0.86667,0.33333,0.01979
0.9,0.33333,0.01978
0.93333,0.33333,0.01969
0.96667,0.33333,0.01945
0.0,0.36667,0.02036
0.03333,0.36667,0.01927
0.06667,0.36667,0.01794
0.1,0.36667,0.01646
0.13333,0.36667,0.01484
0.16667,0.36667,0.01305
0.2,0.36667,0.0112
0.23333,0.36667,0.00966
0.26667,0.36667,0.00864
0.3,0.36667,0.00815
0.33333,0.36667,0.00815
0.36667,0.36667,0.00864
0.4,0.36667,0.00966
0.43333,0.36667,0.0112
0.46667,0.36667,0.01305
0.5,0.36667,0.01484
0.53333,0.36667,0.01646
0.56667,0.36667,0.01794
0.6,0.36667,0.01927
0.63333,0.36667,0.02036
0.66667,0.36667,0.02115
